customerid,gender,age,annual_income_(k$),spending_score_(1-100)
1,male,19,15.0,39
2,male,21,15.0,81
4,female,23,16.0,77
5,female,31,17.0,40
6,female,22,17.0,76
7,female,35,18.0,6
13,female,58,20.0,15
8,female,23,18.0,94
9,male,64,19.0,3
10,female,30,19.0,72
12,female,35,19.0,99
14,female,24,20.0,77
15,male,37,20.0,13
16,male,22,20.0,79
17,female,35,21.0,35
18,male,20,21.0,66
19,male,52,23.0,29
20,female,35,23.0,98
21,male,35,24.0,35
22,male,25,24.0,73
23,female,46,25.0,5
24,male,31,25.0,73
25,female,54,28.0,14
26,male,29,28.0,82
27,female,45,28.0,32
28,male,35,28.0,61
29,female,40,29.0,31
30,female,23,29.0,87
31,male,60,30.0,4
32,female,21,30.0,73
33,male,53,33.0,4
34,male,18,33.0,92
35,female,49,33.0,14
36,female,21,33.0,81
37,female,42,34.0,17
38,female,30,34.0,73
39,female,36,37.0,26
40,female,20,37.0,75
41,female,65,38.0,35
42,male,24,38.0,92
43,male,48,39.0,36
52,male,33,42.0,60
44,female,31,39.0,61
45,female,49,39.0,28
46,female,24,39.0,65
47,female,50,40.0,55
48,female,27,40.0,47
49,female,29,40.0,42
50,female,31,40.0,42
51,female,49,42.0,52
53,female,31,43.0,54
54,male,59,43.0,60
55,female,50,43.0,45
56,male,47,43.0,41
57,female,51,44.0,50
58,male,69,44.0,46
59,female,27,46.0,51
60,male,53,46.0,46
61,male,70,46.0,56
62,male,19,46.0,55
63,female,67,47.0,52
64,female,54,47.0,59
65,male,63,48.0,51
66,male,18,48.0,59
67,female,43,48.0,50
68,female,68,48.0,48
69,male,19,48.0,59
70,female,32,48.0,47
71,male,70,49.0,55
72,female,47,49.0,42
73,female,60,50.0,49
74,female,60,50.0,56
76,male,26,54.0,54
77,female,45,54.0,53
79,female,23,54.0,52
81,male,57,54.0,51
82,male,38,54.0,55
83,male,67,54.0,41
84,female,46,54.0,44
85,female,21,54.0,57
86,male,48,54.0,46
87,female,55,57.0,58
88,female,22,57.0,55
89,female,34,58.0,60
90,female,50,58.0,46
91,female,68,59.0,55
93,male,48,60.0,49
94,female,40,60.0,40
95,female,32,60.0,42
96,male,24,60.0,52
97,female,47,60.0,47
98,female,27,60.0,50
99,male,48,61.0,42
100,male,20,61.0,49
101,female,23,62.0,41
102,female,49,62.0,48
103,male,67,62.0,59
104,male,26,62.0,55
105,male,49,62.0,56
106,female,21,62.0,42
107,female,66,63.0,50
109,male,68,63.0,43
110,male,66,63.0,48
111,male,65,63.0,52
112,female,19,63.0,54
113,female,38,64.0,42
114,male,19,64.0,46
115,female,18,65.0,48
116,female,19,65.0,50
117,female,63,65.0,43
118,female,49,65.0,59
119,female,51,67.0,43
120,female,50,67.0,57
121,male,27,67.0,56
122,female,38,67.0,40
123,female,40,69.0,58
124,male,39,69.0,91
125,female,23,70.0,29
126,female,31,70.0,77
127,male,43,71.0,35
128,male,40,71.0,95
129,male,59,71.0,11
131,male,47,71.0,9
132,male,39,71.0,75
133,female,25,72.0,34
134,female,31,72.0,71
135,male,20,73.0,5
136,female,29,73.0,88
137,female,44,73.0,7
138,male,32,73.0,73
139,male,19,74.0,10
141,female,57,75.0,5
142,male,32,75.0,93
143,female,28,76.0,40
144,female,32,76.0,87
145,male,25,77.0,12
146,male,28,77.0,97
147,male,48,77.0,36
148,female,32,77.0,74
149,female,34,78.0,22
150,male,34,78.0,90
151,male,43,78.0,17
152,male,39,78.0,88
153,female,44,78.0,20
154,female,38,78.0,76
155,female,47,78.0,16
156,female,27,78.0,89
157,male,37,78.0,1
158,female,30,78.0,78
159,male,34,78.0,1
160,female,30,78.0,73
161,female,56,79.0,35
162,female,29,79.0,83
163,male,19,81.0,5
164,female,31,81.0,93
165,male,50,85.0,26
166,female,36,85.0,75
167,male,42,86.0,20
168,female,33,86.0,95
169,female,36,87.0,27
170,male,32,87.0,63
171,male,40,87.0,13
172,male,28,87.0,75
173,male,36,87.0,10
174,male,36,87.0,92
175,female,52,88.0,13
176,female,30,88.0,86
177,male,58,88.0,15
178,male,27,88.0,69
179,male,59,93.0,14
181,female,37,97.0,32
182,female,32,97.0,86
183,male,46,98.0,15
184,female,29,98.0,88
185,female,41,99.0,39
186,male,30,99.0,97
187,female,54,101.0,24
188,male,28,101.0,68
189,female,41,103.0,17
190,female,36,103.0,85
191,female,34,103.0,23
192,female,32,103.0,69
193,male,33,113.0,8
194,female,38,113.0,91
195,female,47,120.0,16
196,female,35,120.0,79
197,female,45,126.0,28
198,male,32,126.0,74
199,male,32,137.0,18
200,male,30,137.0,83
201,male,53,33.0,4
202,male,18,33.0,92
203,female,49,33.0,14
205,female,49,65.0,59
206,female,51,67.0,43
207,female,50,67.0,57
208,male,27,67.0,56
209,female,38,67.0,40
210,female,40,69.0,58
211,male,39,69.0,91
212,female,23,70.0,29
213,female,54,28.0,14
214,male,29,28.0,82
215,female,45,28.0,32
216,male,35,28.0,61
217,female,40,29.0,31
218,female,23,29.0,87
219,male,43,78.0,17
220,male,39,78.0,88
221,female,44,78.0,20
222,female,38,78.0,76
223,female,47,78.0,16
224,female,27,78.0,89
225,male,37,78.0,1
226,female,50,67.0,57
227,male,27,67.0,56
228,female,38,67.0,40
229,female,40,69.0,58
230,male,39,69.0,91
